Treatment,plant mass (g),Sample Name,Fluroscence Index,Freshness Index,Humification Index,"Peak_A(ex260,maxem(380:460))","Peak_B(ex275,em310)","Peak_T(ex275,em340)","Peak_C(ex350,maxem(420:480))","Peak_M(ex312,maxem(380:420))","CDOM(ex325,em470)","Tryptophan(ex285,em350)",MaxEM@370nm
unburned,400,1,1.635311,0.743381,2.906765,1.437697,1.019158,0.786781,0.781926,0.890704,0.661237,0.736802,457
burned,0,2,1.814837,0.840844,1.755819,0.261973,0.293666,0.302092,0.108395,0.134318,0.095346,0.265492,439
unburned,300,3,1.619499,0.69517,2.376027,1.13032,0.95842,0.797785,0.622375,0.722215,0.548689,0.68852,385
burned,5,4,1.571039,0.954435,1.858278,0.313139,0.191385,0.216131,0.143,0.19313,0.13662,0.225456,450
unburned,250,5,1.670622,0.713853,2.943092,1.25342,0.896359,0.770849,0.672738,0.750747,0.617835,0.664105,452
burned,10,6,1.565895,0.831813,1.743498,0.357616,0.340387,0.310022,0.130846,0.192078,0.125755,0.286414,385
unburned,225,7,1.516612,0.719328,3.347423,1.031805,0.62726,0.521667,0.523789,0.651809,0.499453,0.534845,460
burned,25,8,1.630734,0.850176,2.314246,0.462981,0.324788,0.286183,0.175024,0.24506,0.170451,0.300506,445
unburned,200,9,1.559671,0.712904,4.092446,1.177057,0.630878,0.495934,0.564353,0.636707,0.523715,0.480447,451
burned,50,10,1.431652,0.793948,2.41174,0.710471,0.487408,0.446126,0.276217,0.433487,0.278177,0.404153,445
unburned,175,11,1.514767,0.687349,3.547469,1.096384,0.560694,0.485232,0.561056,0.649558,0.526731,0.443184,454
burned,75,12,1.838158,0.82025,1.962306,1.082104,0.745166,0.669302,0.468528,0.520589,0.385664,0.603583,451
unburned,150,13,1.537708,0.711626,3.15238,0.87097,0.602131,0.496294,0.446381,0.528008,0.417304,0.440868,461
burned,150,14,1.599708,0.723626,3.12238,0.97097,0.702131,0.586294,0.426381,0.559008,0.487304,0.430868,458
unburned,125,15,1.505321,0.706272,2.976635,0.694376,0.394847,0.399542,0.290232,0.385163,0.289629,0.333084,448
burned,125,16,1.648622,0.826946,2.657293,1.083965,0.663644,0.566554,0.476496,0.610355,0.431203,0.609491,451
unburned,100,17,1.521095,0.718498,2.861869,0.659574,0.448331,0.405206,0.300598,0.39497,0.27975,0.368199,451
burned,150,18,1.679478,0.828713,2.796296,1.191218,0.690561,0.70971,0.523857,0.640044,0.457025,0.677555,459
unburned,75,19,1.4375,0.749102,2.852716,0.563571,0.355042,0.313717,0.213531,0.31687,0.204833,0.28355,464
burned,175,20,1.481269,0.83299,2.701744,0.927562,0.62523,0.567929,0.419216,0.567144,0.382185,0.548732,449
unburned,50,21,1.632323,0.811862,2.158686,0.527249,0.458329,0.334206,0.213294,0.289778,0.191102,0.318803,447
burned,200,22,1.59881,0.785942,3.007692,1.123868,0.669258,0.618979,0.556356,0.721703,0.518083,0.572657,451
unburned,25,23,1.638332,0.772009,2.712399,0.382002,0.249348,0.219517,0.150533,0.195355,0.136134,0.220617,448
burned,225,24,1.718356,0.780495,3.021933,1.334269,0.774799,0.67061,0.647781,0.744152,0.560272,0.660998,450
unburned,10,25,1.576063,0.851938,1.883374,0.334932,0.329492,0.281595,0.144655,0.184323,0.12046,0.260711,451
burned,250,26,1.555215,0.780362,2.605727,1.142484,0.806297,0.713104,0.596368,0.746194,0.526189,0.633504,449
unburned,5,27,1.760375,0.784239,2.499725,0.312247,0.247776,0.211712,0.130041,0.155425,0.120956,0.186502,452
burned,300,28,1.595178,0.784942,2.446069,1.424789,1.161643,0.97242,0.765774,0.944675,0.672822,0.877809,455
unburned,0,29,1.67657,0.778962,2.651616,0.28162,0.230282,0.196106,0.133905,0.155833,0.115759,0.181256,451
burned,400,30,1.760784,0.800967,2.183961,1.606674,1.454054,1.292638,0.982397,1.080008,0.802356,1.168315,454
