"","Variable","Model","df","AIC"
"m1.DOC.T1.gam","DOC concentration","Day 10: Treatment with by-factor smooth",10.8590734502956,146.823968321649
"m2.DOC.T1.gam","DOC concentration","Day 10: Treatment with global smooth",6.59749596699919,157.793331848353
"m3.DOC.T1.gam","DOC concentration","Day 10: global smooth",5.48070587630684,162.010920483846
"m1.DOC.T2.gam","DOC concentration","Day 31: Treatment with by-factor smooth",12.4612157128097,117.697010130122
"m2.DOC.T2.gam","DOC concentration","Day 31: Treatment with global smooth",6.26960209383184,159.97066319304
"m3.DOC.T2.gam","DOC concentration","Day 31: global smooth",5.33335358298642,157.956372680794
"m1.DOC.T3.gam","DOC concentration","Day 59: Treatment with by-factor smooth",8.2458337332926,64.0307405406757
"m2.DOC.T3.gam","DOC concentration","Day 59: Treatment with global smooth",4.00004093385776,69.728768380503
"m3.DOC.T3.gam","DOC concentration","Day 59: global smooth",3.00004074188526,76.1343250332004
"m1.DOC.T4.gam","DOC concentration","Day 89: Treatment with by-factor smooth",6.32401809970382,110.85389981307
"m2.DOC.T4.gam","DOC concentration","Day 89: Treatment with global smooth",5.38973981461766,109.293534150805
"m3.DOC.T4.gam","DOC concentration","Day 89: global smooth",4.38458649819276,108.631071339609
