"","Variable","Model","df","AIC"
"m1.hix.T1.gam","HIX","Day 10: Treatment with by-factor smooth",5.00006088759822,62.106942764969
"m2.hix.T1.gam","HIX","Day 10: Treatment with global smooth",4.00005988596729,60.2325000879727
"m3.hix.T1.gam","HIX","Day 10: global smooth",3.00006104975483,59.4211398755492
"m1.hix.T2.gam","HIX","Day 31: Treatment with by-factor smooth",5.0000221159709,30.3586110052497
"m2.hix.T2.gam","HIX","Day 31: Treatment with global smooth",4.00003037844964,28.4130780383933
"m3.hix.T2.gam","HIX","Day 31: global smooth",3.00004530471064,28.8881384131702
"m1.hix.T3.gam","HIX","Day 59: Treatment with by-factor smooth",11.9535432345746,23.1191080687731
"m2.hix.T3.gam","HIX","Day 59: Treatment with global smooth",7.7574255718635,23.5022003203732
"m3.hix.T3.gam","HIX","Day 59: global smooth",5.93686272208135,35.5201061528927
"m1.hix.T4.gam","HIX","Day 89: Treatment with by-factor smooth",10.0533177118966,25.1218302751253
"m2.hix.T4.gam","HIX","Day 89: Treatment with global smooth",6.20847502162216,41.2166979300646
"m3.hix.T4.gam","HIX","Day 89: global smooth",4.84173006564385,52.432506241925
