"","Variable","Model","df","AIC"
"m1.sr.T1.gam","Slope ratio","Day 10: Treatment with by-factor smooth",7.12737813446006,7.77548266258471
"m2.sr.T1.gam","Slope ratio","Day 10: Treatment with global smooth",5.17227659326063,12.5624738534802
"m3.sr.T1.gam","Slope ratio","Day 10: global smooth",4.1864174082007,11.1803664688821
"m1.sr.T2.gam","Slope ratio","Day 31: Treatment with by-factor smooth",11.5370242141034,-13.510260177656
"m2.sr.T2.gam","Slope ratio","Day 31: Treatment with global smooth",7.67744052187343,-20.1199650787726
"m3.sr.T2.gam","Slope ratio","Day 31: global smooth",6.71272275448644,-22.0077972034303
"m1.sr.T3.gam","Slope ratio","Day 59: Treatment with by-factor smooth",9.68868922042104,-1.12406153232962
"m2.sr.T3.gam","Slope ratio","Day 59: Treatment with global smooth",6.77642571496859,-6.81848841604398
"m3.sr.T3.gam","Slope ratio","Day 59: global smooth",5.74750711954629,-6.46898637500712
"m1.sr.T4.gam","Slope ratio","Day 89: Treatment with by-factor smooth",11.3983710802382,-57.0781139875332
"m2.sr.T4.gam","Slope ratio","Day 89: Treatment with global smooth",7.36353350078322,-42.1307991398434
"m3.sr.T4.gam","Slope ratio","Day 89: global smooth",6.39673678190797,-44.1218050413481
